code,name,street,lat,lon,change_type,change_reason
1112,Opp Bugis Stn Exit C,Victoria St,1.30009212839081,103.85520027125814,removed,Removed bus stop code
1113,Bugis Stn Exit A,Victoria St,1.30117297541547,103.8561140106393,removed,Removed bus stop code
1119,Aft Bugis Stn Exit C,Victoria St,1.2996041093804,103.85512934079571,removed,Removed bus stop code
1121,Aft Victoria Ln,Victoria St,1.30393809691048,103.85867999243207,removed,Removed bus stop code
1129,Bef Jln Pisang,Victoria St,1.30350269187301,103.85864530718491,removed,Removed bus stop code
1139,Bugis Stn/Parkview Sq,Nth Bridge Rd,1.30033057855542,103.857160806659,removed,Removed bus stop code
1211,Opp Blk 461,Victoria St,1.30551803523268,103.8605449516032,removed,Removed bus stop code
1219,Blk 461,Victoria St,1.30526598535719,103.86072019914616,removed,Removed bus stop code
1229,Bef Sultan Mque,Nth Bridge Rd,1.30337552638813,103.85963089198265,removed,Removed bus stop code
1231,Opp Textile Ctr,Jln Sultan,1.3032499999752,103.8610830559663,removed,Removed bus stop code
1239,Sultan Plaza,Jln Sultan,1.30291236608351,103.86161817611134,removed,Removed bus stop code
1311,Lavender Stn Exit B,Kallang Rd,1.3070916463394,103.86219695240972,removed,Removed bus stop code
1319,Lavender Stn Exit A/ICA,Kallang Rd,1.30757426746418,103.86325596123476,removed,Removed bus stop code
1329,Blk 8,Nth Bridge Rd,1.30495670239172,103.86363028484124,removed,Removed bus stop code
1339,Bef Crawford Bridge,Crawford St,1.30774601733202,103.8642627465441,removed,Removed bus stop code
1341,Southbank,Crawford St,1.30647555600578,103.86452527798744,removed,Removed bus stop code
1349,Opp Blk 4,Crawford St,1.30568635716829,103.86543994417885,removed,Removed bus stop code
1411,Opp St. John HQ,Beach Rd,1.30211332865049,103.86295598167332,removed,Removed bus stop code
1419,St. John HQ,Beach Rd,1.3020199999911,103.86326333301204,removed,Removed bus stop code
1421,Opp Golden Mile Cplx,Beach Rd,1.30338444400173,103.8648388889864,removed,Removed bus stop code
1429,Golden Mile Cplx,Beach Rd,1.3032136089394,103.86501584807765,removed,Removed bus stop code
1511,Opp The Gateway,Beach Rd,1.29919826103807,103.85864518302436,removed,Removed bus stop code
1519,The Gateway,Beach Rd,1.29907492488417,103.8589102973441,removed,Removed bus stop code
