code,name,street,lat,lon,code_normalized,corrected_name,name_source
04331,Bef Fort Canning Stn,River Valley Rd,1.29183939431601,103.84504089382705,04331,Bef Fort Canning Stn,SimplyGo
04339,Fort Canning Stn Exit B,River Valley Rd,1.29221099996741,103.84500500002959,04339,Fort Canning Stn Exit B,SimplyGo
05012,Bef Pearl's Hill Terr,Eu Tong Sen St,1.28154583300728,103.84087722199499,05012,Bef Pearl's Hill Terr,SimplyGo
05013,Chinatown Stn Exit C,Eu Tong Sen St,1.28406979945936,103.84299874303983,05013,Chinatown Stn Exit C,LTA
05019,Aft Duxton Plain Pk,New Bridge Rd,1.28118388885484,103.84105000000471,05019,Aft Duxton Plain Pk,LTA
05022,Aft Chinatown Stn Exit D,Eu Tong Sen St,1.28571089865595,103.84437203405348,05022,Aft Chinatown Stn Exit D,LTA
05023,Opp Hong Lim Pk,Eu Tong Sen St,1.28692928357498,103.84540375642477,05023,Opp Hong Lim Pk,LTA
05029,Boat Quay,Sth Bridge Rd,1.28712283362119,103.84819780822524,05029,Boat Quay,LTA
05039,New Bridge Ctr,New Bridge Rd,1.28293819129834,103.84254276754574,05039,New Bridge Ctr,LTA
05049,Chinatown Stn Exit E,New Bridge Rd,1.28531114761754,103.84455070696784,05049,Chinatown Stn Exit E,LTA
05059,Hong Lim Pk,New Bridge Rd,1.28676420118491,103.84575036447065,05059,Hong Lim Pk,LTA
05069,Outram Pk Stn Exit 4,New Bridge Rd,1.28027629959632,103.84029791443083,05069,Outram Pk Stn Exit 4,LTA
05129,Opp One Upp Pickering,Upp Pickering St,1.28601166699569,103.84634666701143,05129,Opp One Upp Pickering,LTA
05131,Opp Hong Lim Cplx,Upp Cross St,1.284073056,103.8453381,05131,Opp Hong Lim Cplx,LTA
05189,Opp Sri Mariamman Tp,Sth Bridge Rd,1.2820913960391,103.84528061446953,05189,Opp Sri Mariamman Tp,LTA
05199,Opp Hong Lim Cplx,Sth Bridge Rd,1.28451455846092,103.84666049314171,05199,Opp Hong Lim Cplx,LTA
05239,Bef The Pinnacle @Duxton,Neil Rd,1.27854113014976,103.8415105424013,05239,Bef The Pinnacle @Duxton,SimplyGo
05241,Opp Blk 333,Kreta Ayer Rd,1.28071988238536,103.84227488654868,05241,Opp Blk 333,LTA
05259,Opp Maxwell Stn Exit 3,Neil Rd,1.27979447837032,103.84262707605177,05259,Opp Maxwell Stn Exit 3,LTA
05269,Maxwell Stn Exit 2,Sth Bridge Rd,1.280894,103.844567,05269,Maxwell Stn Exit 2,LTA
05271,Opp Fairfield Meth Ch,Tg Pagar Rd,1.27975329525167,103.84382212419122,05271,Opp Fairfield Meth Ch,LTA
05319,OCBC Ctr,Church St,1.284437,103.849114,05319,OCBC Ctr,LTA
05411,Tg Pagar Plaza,Tg Pagar Rd,1.27519165673078,103.84309190393883,05411,Tg Pagar Plaza,LTA
05419,The Amara,Tg Pagar Rd,1.27470669455555,103.84318683838887,05419,The Amara,LTA
05421,Aft Craig Rd,Tg Pagar Rd,1.27777470568529,103.84346347289251,05421,Aft Craig Rd,LTA
