Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,01/09/2025,26061,BS Development,B S DEVELOPMENT,Tuas Cres
NAME_CHANGED,01/09/2025,26071,Unifine Star Petrochem,UNIFINE STAR PETROCHEM,Tuas Cres
NAME_CHANGED,01/09/2025,26081,Bef Tuas Ave 18A,BEF TUAS AVE 18A,Tuas Cres
NAME_CHANGED,01/09/2025,26091,Rotary Engrg,ROTARY ENGRG,Tuas Ave 20
NAME_CHANGED,01/09/2025,26101,BASF Sth East Asia,BASF STH EAST ASIA,Tuas Ave 20
NAME_CHANGED,01/09/2025,27221,Sch of CEE,Sch Of CEE,Nanyang Dr
NAME_CHANGED,01/09/2025,27501,NTUC Health Nursing Hme,NTUC HEALTH NURSING HME,Jurong West St 93
NAME_CHANGED,01/09/2025,27539,Bef Xingnan Pr Sch,BEF XINGNAN PR SCH,Jurong West St 91
NAME_CHANGED,01/09/2025,28011,Bef Toh Tuck Ave,BEF TOH TUCK AVE,C'wealth Ave West
NAME_CHANGED,01/09/2025,28021,Opp 8 @Tradehub 21,OPP 8 @TRADEHUB 21,Boon Lay Way
NAME_CHANGED,01/09/2025,28029,8 @ Tradehub 21,8 @ TRADEHUB 21,Boon Lay Way
NAME_CHANGED,01/09/2025,28199,Opp Jem,Opposite JEM,Jurong Gateway Rd
NAME_CHANGED,01/09/2025,29119,ComfortDelGro Engrg,Comfortdelgro Engrg,Pandan Rd
NAME_CHANGED,01/09/2025,29121,Opp CLP Intl,Opp Clp Intl,Tg Penjuru
NAME_CHANGED,01/09/2025,29129,CLP Intl,Clp Intl,Tg Penjuru
NAME_CHANGED,01/09/2025,30119,Aft Choa Chu Kang Ave 6,AFT CHOA CHU KANG AVE 6,Brickland Rd
NAME_CHANGED,01/09/2025,30129,Opp Blk 805D,OPP BLK 805D,Brickland Rd
NAME_CHANGED,01/09/2025,31131,CCK Cemy Office,Aft Track 33,Old Choa Chu Kang Rd
NAME_CHANGED,01/09/2025,31139,Opp CCK Cemy Office,Bef Track 33,Old Choa Chu Kang Rd
NAME_CHANGED,01/09/2025,31141,Aft Gdn of Remembrance,CCK Cemy Office,Old Choa Chu Kang Rd
NAME_CHANGED,01/09/2025,31149,Bef Gdn of Remembrance,Opp CCK Cemy Office,Old Choa Chu Kang Rd
NAME_CHANGED,01/09/2025,40011,Little India Stn Exit A,LITTLE INDIA STN EXIT A,Bt Timah Rd
NAME_CHANGED,01/09/2025,40021,Bef Winstedt Rd,BEF WINSTEDT RD,Bt Timah Rd
NAME_CHANGED,01/09/2025,40081,Stevens Stn Exit 1,STEVENS STN EXIT 1,Bt Timah Rd
NAME_CHANGED,01/09/2025,40089,Aft Stevens Stn Exit 5,AFT STEVENS STN EXIT 5,Dunearn Rd
NAME_CHANGED,01/09/2025,40101,KK Women & Children Hosp,Kk Women & Children Hosp,Kg Java Rd
NAME_CHANGED,01/09/2025,40209,Novotel Mercure @ Stevens,NOVOTEL MERCURE @ STEVENS,Stevens Rd
